method,privacy,lpips_mean,niqe_mean,quality,age,gender,ethnicity,macro_exp,landmark,U1,gaze,micro_exp,U2,bvp,hr,U3,HiFD_PrivacyFirst,HiFD_Balanced,HiFD_Clinical
MI-FGSM,0.1342,0.2849,6.4125,0.3598,0.9753,0.9620,0.9157,0.9507,0.8340,0.9276,0.9361,0.7994,0.8678,0.4709,0.4775,0.4742,0.2167,0.3432,0.3687
PGD,0.1133,0.2781,6.6534,0.3625,0.9781,0.9678,0.9354,0.9642,0.8429,0.9377,0.9402,0.8168,0.8785,0.5773,0.5552,0.5663,0.1903,0.3215,0.3604
TI-DIM,0.4998,0.3243,5.9535,0.3417,0.8802,0.8261,0.6559,0.7387,0.6843,0.7570,0.9208,0.7218,0.8213,0.4236,0.4248,0.4242,0.5055,0.5090,0.4848
TIP-IM,0.4962,0.1786,4.6828,0.4457,0.9268,0.8817,0.7014,0.7939,0.7285,0.8065,0.9437,0.8121,0.8779,0.6425,0.6050,0.6237,0.5599,0.6067,0.6109
Chameleon,0.2387,0.1203,4.6906,0.4742,0.9151,0.8972,0.7804,0.8389,0.8162,0.8496,0.9610,0.8163,0.8886,0.8214,0.7766,0.7990,0.3568,0.5075,0.5584
Adv-Makeup,0.0119,0.0169,4.7294,0.5236,0.9874,0.9796,0.9425,0.9713,0.9175,0.9596,0.9661,0.9156,0.9409,0.9644,0.8984,0.9314,0.0235,0.0562,0.0734
AMT-GAN,0.1564,0.1030,4.7291,0.4807,0.9663,0.9111,0.7370,0.8682,0.8207,0.8607,0.9381,0.5526,0.7453,0.1316,0.1640,0.1478,0.2167,0.2818,0.2297
CIAGAN,0.4500,0.4474,11.3874,0.2763,0.8945,0.5493,0.2908,0.5285,0.0752,0.4677,0.7478,0.5721,0.6600,0.2248,0.2689,0.2468,0.3958,0.3691,0.3284
DeID-rPPG,0.0131,0.1905,6.0654,0.4069,0.9796,0.9709,0.8904,0.9631,0.8539,0.9316,0.9402,0.8377,0.8890,0.9400,0.8748,0.9074,0.0257,0.0609,0.0794
G2Face,0.2098,0.1337,5.2037,0.4426,0.9530,0.8980,0.7124,0.8173,0.6652,0.8092,0.9029,0.7931,0.8480,0.3236,0.3279,0.3257,0.2984,0.3997,0.3782
WeakenDiff,0.2220,0.2588,7.1692,0.3706,0.9514,0.9217,0.6795,0.8653,0.7541,0.8344,0.9244,0.6587,0.7915,0.1687,0.2008,0.1848,0.2798,0.3316,0.2767
DiffAM,0.1591,0.0990,4.9126,0.4714,0.9585,0.9226,0.6984,0.8021,0.5829,0.7929,0.9078,0.7148,0.8113,0.5383,0.5753,0.5568,0.2535,0.3938,0.4249
